Order,Seasonal_Order,AIC,BIC
"(1, 0, 0)","(1, 0, 2, 12)",2817.007036836222,2838.227871339541
"(1, 0, 0)","(1, 1, 0, 12)",2930.529644884463,2943.262145586454
"(1, 0, 0)","(1, 1, 1, 12)",2812.7131250644156,2829.6897926670704
"(1, 0, 0)","(1, 1, 2, 12)",2734.3706956229826,2755.473646473481
"(1, 0, 0)","(1, 2, 0, 12)",3220.4632127451714,3233.1249832554704
"(1, 0, 0)","(1, 2, 1, 12)",2919.605132115308,2936.487492795707
"(1, 0, 0)","(1, 2, 2, 12)",2752.36158155885,2773.3438021978227
"(1, 0, 0)","(2, 0, 0, 12)",2932.5238024383743,2949.500470041029
"(1, 0, 0)","(2, 0, 1, 12)",2817.5077624678775,2838.728596971196
"(1, 0, 0)","(2, 0, 2, 12)",2819.127374857126,2844.5923762611087
"(1, 0, 0)","(2, 1, 0, 12)",2790.1334999354417,2807.0158606158407
"(1, 0, 0)","(2, 1, 1, 12)",2735.199045642674,2756.3019964931723
"(1, 0, 0)","(2, 1, 2, 12)",2736.3637982558394,2761.687339276438
"(1, 0, 0)","(2, 2, 0, 12)",3011.2597329471473,3028.0455094583253
"(1, 0, 0)","(2, 2, 1, 12)",2780.9204031000763,2801.902623739049
"(1, 0, 0)","(2, 2, 2, 12)",2765.8156481789756,2790.994312945743
"(1, 0, 1)","(0, 0, 0, 12)",3253.434503079874,3266.298078760359
"(1, 0, 1)","(0, 0, 1, 12)",3117.637112872151,3134.698317723102
"(1, 0, 1)","(0, 0, 2, 12)",3028.3072837850837,3049.5184001123594
"(1, 0, 1)","(0, 1, 0, 12)",3084.4296987574207,3097.225602395634
"(1, 0, 1)","(0, 1, 1, 12)",2790.715491195209,2807.6843842570297
"(1, 0, 1)","(0, 1, 2, 12)",2694.2207110238123,2715.313711622271
"(1, 0, 1)","(0, 2, 0, 12)",3543.8595227420356,3556.586192538401
"(1, 0, 1)","(0, 2, 1, 12)",2976.898090464721,2993.772490943488
"(1, 0, 1)","(0, 2, 2, 12)",2718.987280478962,2739.9593074344853
"(1, 0, 1)","(1, 0, 0, 12)",3090.8425665397426,3107.911368733908
"(1, 0, 1)","(1, 0, 1, 12)",2862.232205037641,2883.5587111013297
"(1, 0, 1)","(1, 0, 2, 12)",2786.2777368839797,2811.7310764767108
"(1, 0, 1)","(1, 1, 0, 12)",2922.78498988287,2939.7616574855247
"(1, 0, 1)","(1, 1, 1, 12)",2787.8470006672924,2809.058116994568
"(1, 0, 1)","(1, 1, 2, 12)",2696.018180893061,2721.3297816112113
"(1, 0, 1)","(1, 2, 0, 12)",3219.0476068169946,3235.9299674973936
"(1, 0, 1)","(1, 2, 1, 12)",2903.699167583113,2924.792168181572
"(1, 0, 1)","(1, 2, 2, 12)",2716.9429294844085,2742.1093618310365
"(1, 0, 1)","(2, 0, 0, 12)",2925.0329494241787,2946.2537839274974
"(1, 0, 1)","(2, 0, 1, 12)",2790.8312286920136,2816.296230095996
"(1, 0, 1)","(2, 0, 2, 12)",2788.3909873458315,2818.086550204018
"(1, 0, 1)","(2, 1, 0, 12)",2781.51460412276,2802.6175549732584
"(1, 0, 1)","(2, 1, 1, 12)",2704.9021074757125,2730.225648496311
"(1, 0, 1)","(2, 1, 2, 12)",2694.046317722219,2723.5765185600612
"(1, 0, 1)","(2, 2, 0, 12)",3010.6228250362888,3031.6050456752614
"(1, 0, 1)","(2, 2, 1, 12)",2772.299142116673,2797.4778068834403
"(1, 0, 1)","(2, 2, 2, 12)",2728.187999660692,2757.548837398425
"(1, 0, 2)","(0, 0, 0, 12)",3240.8437032226175,3257.987695600653
"(1, 0, 2)","(0, 0, 1, 12)",3113.2421399098257,3134.559131222784
